<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.30	01:00:00	25878.10	25885.70	25829.00	25831.80	1215	0	100
2026.01.30	01:05:00	25831.30	25874.10	25830.10	25837.00	1144	0	100
2026.01.30	01:10:00	25837.70	25839.20	25779.80	25785.00	1534	0	100
2026.01.30	01:15:00	25785.30	25812.00	25781.10	25806.30	1282	0	100
2026.01.30	01:20:00	25806.30	25841.20	25797.30	25837.50	1035	0	100
2026.01.30	01:25:00	25837.10	25861.60	25764.50	25821.10	1320	0	100
2026.01.30	01:30:00	25820.80	25880.30	25818.50	25873.50	1718	0	100
2026.01.30	01:35:00	25873.10	25897.20	25872.20	25886.00	1339	0	100
2026.01.30	01:40:00	25885.70	25889.60	25875.20	25882.20	1004	0	100
2026.01.30	01:45:00	25881.80	25888.70	25850.00	25870.20	1316	0	100
2026.01.30	01:50:00	25869.50	25872.20	25851.80	25856.60	989	0	100
2026.01.30	01:55:00	25857.20	25859.00	25835.80	25850.30	1088	0	100
2026.01.30	02:00:00	25850.80	25869.50	25842.50	25868.10	2005	0	100
2026.01.30	02:05:00	25867.80	25869.10	25842.10	25848.20	1788	0	100
2026.01.30	02:10:00	25848.30	25850.60	25816.00	25833.60	1713	0	100
2026.01.30	02:15:00	25834.10	25849.80	25821.80	25823.30	1656	0	100
2026.01.30	02:20:00	25824.00	25826.60	25794.20	25812.70	1762	0	100
2026.01.30	02:25:00	25813.00	25821.80	25785.60	25804.80	1539	0	100
2026.01.30	02:30:00	25805.10	25870.20	25802.20	25814.80	1752	0	100
2026.01.30	02:35:00	25814.80	25824.10	25794.00	25817.20	1562	0	100
2026.01.30	02:40:00	25817.10	25822.80	25795.80	25800.20	1315	0	100
2026.01.30	02:45:00	25800.10	25814.70	25794.70	25809.00	1491	0	100
2026.01.30	02:50:00	25809.10	25817.70	25805.00	25806.10	1369	0	100
2026.01.30	02:55:00	25806.30	25826.60	25806.20	25808.30	1459	0	100
2026.01.30	03:00:00	25808.70	25811.20	25782.60	25795.20	1787	0	100
2026.01.30	03:05:00	25794.80	25805.30	25789.00	25798.00	1739	0	100
2026.01.30	03:10:00	25798.20	25802.50	25774.60	25781.60	1837	0	100
2026.01.30	03:15:00	25780.60	25787.50	25774.20	25783.60	1681	0	100
2026.01.30	03:20:00	25783.70	25787.60	25760.60	25770.10	1663	0	100
2026.01.30	03:25:00	25770.30	25785.60	25761.70	25764.80	1807	0	100
2026.01.30	03:30:00	25765.00	25768.60	25745.10	25749.60	1963	0	100
2026.01.30	03:35:00	25748.80	25753.60	25718.80	25719.70	2004	0	100
2026.01.30	03:40:00	25720.00	25721.10	25675.20	25701.80	2328	0	100
2026.01.30	03:45:00	25702.00	25719.10	25688.10	25708.00	2205	0	90
2026.01.30	03:50:00	25707.80	25743.80	25707.80	25741.50	2066	0	100
2026.01.30	03:55:00	25741.60	25745.20	25716.50	25731.30	2103	0	100
2026.01.30	04:00:00	25731.10	25737.30	25708.00	25711.20	2081	0	100
2026.01.30	04:05:00	25710.80	25744.20	25703.50	25716.60	2116	0	100
2026.01.30	04:10:00	25717.00	25725.60	25696.20	25701.50	1993	0	100
2026.01.30	04:15:00	25701.60	25721.00	25682.20	25682.20	2194	0	100
2026.01.30	04:20:00	25682.00	25683.60	25643.70	25650.80	2412	0	100
2026.01.30	04:25:00	25650.70	25665.50	25630.30	25630.30	2174	0	100
2026.01.30	04:30:00	25630.20	25652.20	25615.20	25643.00	2217	0	100
2026.01.30	04:35:00	25642.50	25671.70	25642.30	25658.30	2122	0	100
2026.01.30	04:40:00	25658.10	25679.00	25648.30	25667.00	1951	0	100
2026.01.30	04:45:00	25666.70	25678.20	25659.10	25666.80	1863	0	100
2026.01.30	04:50:00	25666.60	25706.60	25666.60	25704.10	1772	0	100
2026.01.30	04:55:00	25703.80	25725.80	25703.30	25721.60	1886	0	100
2026.01.30	05:00:00	25721.80	25749.00	25719.00	25742.10	1928	0	100
2026.01.30	05:05:00	25741.80	25766.70	25741.80	25763.50	1667	0	100
2026.01.30	05:10:00	25763.60	25763.60	25734.10	25735.20	1570	0	100
2026.01.30	05:15:00	25735.60	25751.10	25722.60	25746.70	1792	0	100
2026.01.30	05:20:00	25746.80	25750.50	25706.30	25723.00	1821	0	100
2026.01.30	05:25:00	25723.20	25737.80	25716.10	25728.00	1722	0	100
2026.01.30	05:30:00	25728.10	25758.20	25722.80	25749.50	1920	0	100
2026.01.30	05:35:00	25749.60	25756.30	25737.00	25737.00	1798	0	100
2026.01.30	05:40:00	25736.80	25741.00	25722.60	25732.80	1653	0	100
2026.01.30	05:45:00	25733.10	25745.50	25732.50	25742.60	1485	0	100
2026.01.30	05:50:00	25743.00	25752.70	25725.70	25731.30	1605	0	100
2026.01.30	05:55:00	25731.00	25739.00	25725.00	25725.80	1375	0	100
2026.01.30	06:00:00	25725.70	25740.50	25722.20	25733.10	1435	0	100
2026.01.30	06:05:00	25733.60	25751.30	25727.30	25749.70	1341	0	100
