model,num_layers,nhead,d_model,hidden_size,total_r,trades,win_rate,sharpe,profit_factor,max_dd_r,realistic_return_low,realistic_return_high
transformer,1,4,64,,41.77,188,48.4,0.655,1.49,-1.63,20.9,31.3
transformer,1,4,128,,43.06,176,46.6,0.679,1.52,-0.91,21.5,32.3
transformer,1,8,64,,20.4,183,41.0,0.333,1.23,-1.56,10.2,15.3
transformer,1,8,128,,45.22,178,46.6,0.713,1.56,-2.65,22.6,33.9
transformer,2,4,64,,25.37,189,45.5,0.411,1.28,-3.5,12.7,19.0
transformer,2,4,128,,31.9,181,44.2,0.511,1.36,-1.57,15.9,23.9
transformer,2,8,64,,22.52,153,43.1,0.393,1.3,-1.82,11.3,16.9
transformer,2,8,128,,26.75,190,44.7,0.429,1.29,-1.06,13.4,20.1
transformer,3,4,64,,4.65,188,39.4,0.076,1.05,-1.61,2.3,3.5
transformer,3,4,128,,24.65,183,43.2,0.401,1.28,-1.06,12.3,18.5
transformer,3,8,64,,54.08,187,48.1,0.82,1.65,-1.08,27.0,40.6
transformer,3,8,128,,33.11,183,45.9,0.529,1.38,-9.78,16.6,24.8
lstm,1,,,32,9.99,178,38.2,0.169,1.11,-3.66,5.0,7.5
lstm,1,,,64,21.14,178,43.3,0.352,1.24,-1.85,10.6,15.9
lstm,1,,,128,34.36,174,45.4,0.554,1.41,-1.53,17.2,25.8
lstm,2,,,32,-2.81,6,16.7,-0.333,0.34,-2.81,-1.4,-2.1
lstm,2,,,64,7.02,201,41.3,0.112,1.07,-2.05,3.5,5.3
lstm,2,,,128,28.8,190,44.2,0.459,1.31,-1.59,14.4,21.6
lstm,3,,,32,18.05,182,41.8,0.3,1.2,-1.4,9.0,13.5
lstm,3,,,64,26.1,166,41.6,0.437,1.32,-0.6,13.1,19.6
lstm,3,,,128,-1.93,200,38.0,-0.031,0.98,-4.44,-1.0,-1.4
